"Name","LineCount"
"src\components\admin\advertisers\config\panels\OverviewPanel.tsx","123"
"src\components\admin\editor\blocks\textblock\inspector\InspectorTextBlock.tsx","123"
"src\components\admin\advertisers\AdvertisersManager.tsx","118"
"src\components\admin\editor\blocks\textblock\inspector\panels\CurrentTextPanel.tsx","115"
"src\components\admin\editor\blocks\textblock\render\renderers\quoteAspas.tsx","114"
"src\components\admin\users\panels\UserStatsPanel.tsx","112"
"src\components\admin\editor\blocks\media\EffectsPanel.tsx","111"
"src\components\admin\advertisers\list\AdvertisersListView.tsx","108"
"src\components\admin\advertisers\config\plans\PlanForm.tsx","108"
"src\components\admin\advertisers\config\banners\BannerTextTab.tsx","107"
"src\components\admin\editor\blocks\text-block-components\TextBlockStyles.tsx","105"
"src\components\admin\advertisers\config\ConfigTabs.tsx","105"
"src\components\admin\editor\engagement\PollQuizEditors.tsx","104"
"src\components\admin\users\panels\subscription\ActivePlansSection.tsx","102"
"src\components\admin\advertisers\config\plans\PlanFeaturesForm.tsx","100"
"src\components\admin\advertisers\config\placements\PlacementsEditor.tsx","97"
"src\components\admin\inspector\BlockSpecificControls.tsx","95"
"src\components\admin\news\NewsFilterHeader.tsx","94"
"src\components\admin\settings\FooterSettings.tsx","93"
"src\components\admin\editor\layout\EditorHeader.tsx","92"
"src\components\admin\editor\blocks\SmartBlockRenderer.tsx","88"
"src\components\admin\advertisers\list\AdvertisersListToolbar.tsx","87"
"src\components\admin\editor\engagement\QuickUploader.tsx","87"
"src\components\admin\editor\EditorHeader.tsx","86"
"src\components\admin\advertisers\config\placements\PlacementCard.tsx","79"
"src\components\admin\editor\gallery\GalleryGridControls.tsx","79"
"src\components\admin\editor\blocks\textblock\render\renderers\currentText.tsx","78"
"src\components\admin\advertisers\config\upcoming\UpcomingModulesPanel.tsx","77"
"src\components\admin\advertisers\popupBuilder\components\MediaSourceSection.tsx","77"
"src\components\admin\users\panels\UserPostsPanel.tsx","76"
"src\components\admin\users\panels\subscription\LinkedAdsSection.tsx","76"
"src\components\admin\editor\layout\EditorMobileDock.tsx","74"
"src\components\admin\users\panels\UserFinancialPanel.tsx","74"
"src\components\admin\editor\engagement\ComparisonEditor.tsx","73"
"src\components\admin\advertisers\editor\sections\SalesSection.tsx","70"
"src\components\admin\advertisers\config\banners\WysiwygField.tsx","69"
"src\components\admin\editor\EditorMeta.tsx","69"
"src\components\admin\editor\blocks\components\MediaBlockOverlays.tsx","68"
"src\components\admin\editor\engagement\TimelineEditor.tsx","67"
"src\components\admin\editor\banner\banner-components\GalleryConfirmationModal.tsx","66"
"src\components\admin\advertisers\config\rules\BenefitList.tsx","65"
"src\components\admin\advertisers\popupBuilder\PopupMediaPanel.tsx","65"
"src\components\admin\editor\blocks\textblock\render\renderTextMode.tsx","63"
"src\components\admin\users\panels\pos\MarketShelf.tsx","63"
"src\components\admin\advertisers\editor\sections\showcase\InternalPageForm.tsx","62"
"src\components\admin\editor\blocks\media-block-components\YouTubeWizardModal.tsx","60"
"src\components\admin\advertisers\editor\sections\showcase\MediaControls.tsx","60"
"src\components\admin\users\panels\subscription\UtilizedItemsSection.tsx","60"
"src\components\admin\editor\banner\components\MediaTypeSelector.tsx","59"
"src\components\admin\editor\engagement\AccordionEditor.tsx","59"
"src\components\admin\advertisers\config\rules\RulesBenefitsPanel.tsx","57"
"src\components\admin\advertisers\config\plans\PlanPricesTable.tsx","55"
"src\components\admin\advertisers\editor\sections\showcase\DisplayLocationsConfig.tsx","54"
"src\components\admin\advertisers\editor\EditorTabs.tsx","53"
"src\components\admin\editor\engagement\CountdownEditor.tsx","52"
"src\components\admin\editor\media\VideoSourcePicker.tsx","52"
"src\components\admin\editor\blocks\TableBlock.tsx","51"
"src\components\admin\users\UserFilterBar.tsx","50"
"src\components\admin\advertisers\config\upcoming\UpcomingModuleCard.tsx","50"
"src\components\admin\editor\engagement\TestimonialEditor.tsx","50"
"src\components\admin\editor\engagement\SliderEditor.tsx","50"
"src\components\admin\editor\banner\banner-components\RemovalWarningModal.tsx","49"
"src\components\admin\advertisers\list\EmptyState.tsx","48"
"src\components\admin\advertisers\config\shared\SaveBar.tsx","46"
"src\components\admin\users\UserFilters.tsx","46"
"src\components\admin\editor\engagement\FlipCardEditor.tsx","44"
"src\components\admin\users\panels\UserAuditPanel.tsx","44"
